ship_city,ship_state,ship_postal_code
GWALIOR,MADHYA PRADESH,474005.0
NEW DELHI,DELHI,110078.0
ROHTAK,HARYANA,124001.0
ROHTAK,HARYANA,124001.0
ROHTAK,HARYANA,124001.0
Kolkata,WEST BENGAL,700156.0
MUMBAI,MAHARASHTRA,400076.0
NEW DELHI,DELHI,110034.0
HYDERABAD,TELANGANA,500054.0
HYDERABAD,TELANGANA,500072.0
PATNA,BIHAR,800002.0
RAMAGUNDAM,TELANGANA,505211.0
PITHORAGARH,UTTARAKHAND,262501.0
HIMMATNAGAR,Gujarat,383001.0
HIMMATNAGAR,Gujarat,383001.0
HIMMATNAGAR,Gujarat,383001.0
KOLKATA,WEST BENGAL,700057.0
MUMBAI,MAHARASHTRA,400101.0
HYDERABAD,TELANGANA,500053.0
"GUWAHATI, KAMRUP (M)",ASSAM,781014.0
"GUWAHATI, KAMRUP (M)",ASSAM,781014.0
KOLAR,KARNATAKA,563101.0
PATIALA,PUNJAB,147001.0
REWA,MADHYA PRADESH,486001.0
BONGAIGAON,ASSAM,783380.0
HYDERABAD,TELANGANA,500087.0
BENGALURU,KARNATAKA,560055.0
Chengalpattu,TAMIL NADU,603002.0
PERAMBALUR,TAMIL NADU,621212.0
KOLAR,KARNATAKA,563101.0
BILASPUR,HIMACHAL PRADESH,174001.0
CHENNAI,TAMIL NADU,600099.0
VARANASI,UTTAR PRADESH,221010.0
BENGALURU,KARNATAKA,560036.0
COIMBATORE,TAMIL NADU,641035.0
CHIRMIRI,CHHATTISGARH,497449.0
AZAMGARH,UTTAR PRADESH,276302.0
KALYAN,MAHARASHTRA,421306.0
NEW DELHI,DELHI,110016.0
HYDERABAD,TELANGANA,502032.0
HYDERABAD,TELANGANA,502032.0
GUWAHATI,ASSAM,781026.0
MYSORE,KARNATAKA,570008.0
BARABANKI,UTTAR PRADESH,225001.0
AMILA,UTTAR PRADESH,275301.0
VIJAYAWADA,ANDHRA PRADESH,520010.0
RAWAN AMBUJA CEMENT PLANT,CHHATTISGARH,493331.0
TIRUCHIRAPPALLI,TAMIL NADU,620018.0
HERBERTPUR,UTTARAKHAND,248142.0
BENGALURU,KARNATAKA,560048.0
bangalore,KARNATAKA,560001.0
KALAMASSERY,KERALA,682021.0
Puri-2,ODISHA,752002.0
TIKABALI,ODISHA,762010.0
BIHARSHARIF,BIHAR,803115.0
HYDERABAD,TELANGANA,500075.0
PARAVUR,KERALA,683513.0
BASTI,UTTAR PRADESH,272001.0
WALAJAPET,TAMIL NADU,632513.0
Dimapur,NAGALAND,797112.0
Bengaluru,KARNATAKA,560029.0
Mahendragarh,HARYANA,123027.0
WALAJAPET,TAMIL NADU,632513.0
HYDERABAD,TELANGANA,500086.0
HYDERABAD,TELANGANA,500086.0
GREATER NOIDA,UTTAR PRADESH,201306.0
New Delhi,DELHI,110019.0
GURUGRAM,HARYANA,122002.0
BENGALURU,KARNATAKA,560040.0
BENGALURU,KARNATAKA,560022.0
MUMBAI,MAHARASHTRA,400069.0
BIJNOR,UTTAR PRADESH,246722.0
MUMBAI,MAHARASHTRA,400078.0
ALLAHABAD,UTTAR PRADESH,211001.0
VASAI VIRAR,MAHARASHTRA,401202.0
BENGALURU,KARNATAKA,560087.0
BIJNOR,UTTAR PRADESH,246701.0
HYDERABAD,TELANGANA,500085.0
BENGALURU,KARNATAKA,560037.0
HYDERABAD,TELANGANA,500090.0
BENGALURU,KARNATAKA,560075.0
MANGALURU,KARNATAKA,575001.0
HYDERABAD,TELANGANA,500034.0
NEW TOWN,WEST BENGAL,700059.0
MUMBAI,MAHARASHTRA,400016.0
MUMBAI,MAHARASHTRA,400016.0
SAMBHAL,UTTAR PRADESH,244302.0
NAGPUR,MAHARASHTRA,441002.0
ELAVANASURKOTTAI,TAMIL NADU,607202.0
SANGLI MIRAJ KUPWAD,MAHARASHTRA,416410.0
KALYAN,MAHARASHTRA,421306.0
MYSURU,KARNATAKA,570016.0
ANKLESHWR,Gujarat,393002.0
Chennai,TAMIL NADU,600117.0
Greater Noida West,UTTAR PRADESH,201009.0
JAMMU,JAMMU & KASHMIR,180007.0
BENGALURU,KARNATAKA,560085.0
ITANAGAR,ARUNACHAL PRADESH,791113.0
KOLKATA,WEST BENGAL,700075.0
KARANJA,MAHARASHTRA,444105.0
NEW DELHI,DELHI,110074.0
NIMBAHERA,RAJASTHAN,312620.0
JAMMU,JAMMU & KASHMIR,180007.0
Imphal East,MANIPUR,795010.0
BIDHAN NAGAR,WEST BENGAL,700064.0
BIDHAN NAGAR,WEST BENGAL,700064.0
BENGALURU,KARNATAKA,560064.0
AHMEDABAD,Gujarat,380015.0
TIRUCHIRAPPALLI,TAMIL NADU,620001.0
BHUBANESWAR,ODISHA,752054.0
ALIGARH,UTTAR PRADESH,202001.0
KOCHI,KERALA,682006.0
GHAZIABAD,UTTAR PRADESH,201014.0
PUNE,MAHARASHTRA,412207.0
PUNE,MAHARASHTRA,412207.0
Bangalore,KARNATAKA,560016.0
MALAPPURAM,KERALA,676517.0
NOIDA,UTTAR PRADESH,201301.0
GREATER NOIDA,UTTAR PRADESH,201308.0
PATNA,BIHAR,800023.0
SIBSAGAR,ASSAM,785674.0
GAYA,BIHAR,823001.0
BENGALURU,KARNATAKA,560083.0
GURUGRAM,HARYANA,122001.0
GURUGRAM,HARYANA,122001.0
KOLLAM,KERALA,691522.0
HYDERABAD,TELANGANA,500034.0
PUNE,MAHARASHTRA,411052.0
PUNE,MAHARASHTRA,411046.0
PERALASSERI,KERALA,670622.0
BENGALURU,KARNATAKA,560102.0
BENGALURU,KARNATAKA,560102.0
BENGALURU,KARNATAKA,560102.0
BENGALURU,KARNATAKA,560100.0
UDUPI,KARNATAKA,576104.0
MARIANI,ASSAM,785634.0
NEW DELHI,DELHI,110075.0
MANGALURU,KARNATAKA,575006.0
AHMEDABAD,Gujarat,380022.0
KARANJA,MAHARASHTRA,444105.0
KOLKATA,WEST BENGAL,700051.0
COOCH BEHAR,WEST BENGAL,736101.0
BENGALURU,KARNATAKA,560029.0
PUNE,MAHARASHTRA,411037.0
DEHRADUN,UTTARAKHAND,248009.0
GAYA,BIHAR,823001.0
BENGALURU,KARNATAKA,560036.0
BENGALURU,KARNATAKA,560036.0
JHARIA KHAS,JHARKHAND,828111.0
KOLKATA,WEST BENGAL,700070.0
Secunderabad,TELANGANA,500010.0
UDAIPUR,RAJASTHAN,313001.0
COIMBATORE,TAMIL NADU,641030.0
BHUBANESWAR,ODISHA,751006.0
BHAGALPUR,BIHAR,812003.0
BHAGALPUR,BIHAR,812003.0
NAGPUR,MAHARASHTRA,440036.0
NAGPUR,MAHARASHTRA,440036.0
NAGPUR,MAHARASHTRA,440036.0
CHENNAI,TAMIL NADU,600096.0
BERHAMPORE,WEST BENGAL,742103.0
Dehradun,UTTARAKHAND,248001.0
MUMBAI,MAHARASHTRA,400101.0
MUMBAI,MAHARASHTRA,400101.0
SEONI,MADHYA PRADESH,480661.0
Agra,UTTAR PRADESH,282002.0
LUCKNOW,UTTAR PRADESH,226029.0
BENGALURU,KARNATAKA,560067.0
PATNA,BIHAR,800001.0
GHAZIABAD,UTTAR PRADESH,201012.0
Nermand,HIMACHAL PRADESH,172023.0
CHENNAI,TAMIL NADU,600010.0
KAMAREDDY,TELANGANA,503111.0
SRINAGAR,JAMMU & KASHMIR,190015.0
BENGALURU,KARNATAKA,560042.0
MUDDEBIHAL,KARNATAKA,586212.0
SANTHAMAGULURU MANDAL,ANDHRA PRADESH,523302.0
HYDERABAD,TELANGANA,500058.0
NEW DELHI,DELHI,110045.0
LUCKNOW,UTTAR PRADESH,226010.0
BENGALURU,KARNATAKA,560042.0
BENGALURU,KARNATAKA,560102.0
Hyderabad,TELANGANA,500032.0
BENGALURU,KARNATAKA,562125.0
BENGALURU,KARNATAKA,562125.0
KOLKATA 700034,WEST BENGAL,700034.0
kolkata,WEST BENGAL,700045.0
HYDERABAD,TELANGANA,500001.0
SEONI,MADHYA PRADESH,480661.0
BARUIPUR,WEST BENGAL,700145.0
KENDRAPARA,ODISHA,754211.0
KENDRAPARA,ODISHA,754211.0
GURUGRAM,HARYANA,122001.0
VIJAYAWADA,ANDHRA PRADESH,521225.0
MUMBAI,MAHARASHTRA,400072.0
NASHIK,MAHARASHTRA,422003.0
THANE,MAHARASHTRA,401107.0
HOSHIARPUR,PUNJAB,146001.0
SEONI,MADHYA PRADESH,480661.0
BENGALURU,KARNATAKA,560010.0
Bengaluru,KARNATAKA,560017.0
BARSHI,MAHARASHTRA,413401.0
MUMBAI,MAHARASHTRA,400080.0
Dehradun,UTTARAKHAND,248001.0
Dehradun,UTTARAKHAND,248001.0
HYDERABAD,TELANGANA,500089.0
BENGALURU,KARNATAKA,560068.0
CHENNAI,TAMIL NADU,600036.0
HYDERABAD,TELANGANA,500028.0
HYDERABAD,TELANGANA,500028.0
CHANDI MANDIR,HARYANA,134107.0
ujjain,MADHYA PRADESH,456010.0
ujjain,MADHYA PRADESH,456010.0
Haldwani,UTTARAKHAND,263139.0
CHENNAI,TAMIL NADU,600125.0
MUMBAI,MAHARASHTRA,400049.0
Uttarkashi,UTTARAKHAND,249193.0
BHUBANESWAR,ODISHA,751006.0
Old Goa,Goa,403107.0
MAHESHWAR,MADHYA PRADESH,451224.0
BENGALURU,KARNATAKA,560037.0
HARDOI,UTTAR PRADESH,241001.0
HYDERABAD,TELANGANA,500073.0
HYDERABAD,TELANGANA,500073.0
NEW DELHI,DELHI,110074.0
KAMAREDDY,TELANGANA,503111.0
SHILLONG,MEGHALAYA,793008.0
DHAMNOD DHAR DISTRICT,MADHYA PRADESH,454552.0
MYSURU,KARNATAKA,570016.0
BENGALURU,KARNATAKA,560037.0
BENGALURU,KARNATAKA,560070.0
CHAKDAHA,WEST BENGAL,741222.0
CHENNAI,TAMIL NADU,600082.0
KOLKATA,WEST BENGAL,700044.0
CHIKKAMAGALURU,KARNATAKA,577101.0
CHIKKAMAGALURU,KARNATAKA,577101.0
BHUBANESWAR,ODISHA,751003.0
GURUGRAM,HARYANA,122018.0
KOLKATA,WEST BENGAL,700050.0
VISAKHAPATNAM,ANDHRA PRADESH,530016.0
ALLAHABAD,UTTAR PRADESH,211004.0
MYSURU,KARNATAKA,570016.0
LUCKNOW,UTTAR PRADESH,226022.0
KOLKATA,WEST BENGAL,700089.0
MALDA,WEST BENGAL,732101.0
DIMAPUR,NAGALAND,797112.0
Nellore,ANDHRA PRADESH,524314.0
PUDUCHERRY,PUDUCHERRY,605008.0
CUNCOLIM,GOA,403703.0
CHIKKAMAGALURU,KARNATAKA,577101.0
Hyderabad,TELANGANA,500068.0
NOIDA,UTTAR PRADESH,201301.0
PUNE,MAHARASHTRA,411028.0
trivandrum,KERALA,695003.0
KANPUR,UTTAR PRADESH,208027.0
CHINNALAPATTI,TAMIL NADU,624301.0
BENGALURU,KARNATAKA,560072.0
HYDERABAD,TELANGANA,500073.0
BENGALURU,KARNATAKA,560100.0
BENGALURU,KARNATAKA,560072.0
BAGESHWAR,UTTARAKHAND,263642.0
NEW DELHI,DELHI,110059.0
BARRACKPORE,WEST BENGAL,700122.0
BARRACKPORE,WEST BENGAL,700122.0
Dombivali  east,MAHARASHTRA,421201.0
NEW DELHI,DELHI,110017.0
PATNA,BIHAR,801105.0
Hyderabad,TELANGANA,500070.0
New delhi,DELHI,110085.0
NEW TOWN,WEST BENGAL,700135.0
HYDERABAD,TELANGANA,502319.0
NEW DELHI,DELHI,110096.0
SIBSAGAR,ASSAM,785667.0
JAMMU,JAMMU & KASHMIR,180015.0
Pune,MAHARASHTRA,411019.0
Pathanapuram,KERALA,689695.0
Pathanapuram,KERALA,689695.0
JAUNPUR,UTTAR PRADESH,222001.0
SOLAPUR,MAHARASHTRA,413001.0
PUNE,MAHARASHTRA,411047.0
MAHBUBNAGAR,TELANGANA,509001.0
Nk sweets Vikasnagar,UTTARAKHAND,248198.0
DARJEELING,WEST BENGAL,734101.0
RANCHI,JHARKHAND,834001.0
BENGALURU,KARNATAKA,560019.0
LUDHIANA,PUNJAB,141001.0
BENGALURU,KARNATAKA,560076.0
HYDERABAD,TELANGANA,500043.0
MUZAFFARPUR,BIHAR,842002.0
MUMBAI,MAHARASHTRA,400101.0
SECUNDERABAD,TELANGANA,500011.0
Sonbhadra,UTTAR PRADESH,231216.0
LUCKNOW,UTTAR PRADESH,226010.0
KAKINADA,ANDHRA PRADESH,533003.0
KAKINADA,ANDHRA PRADESH,533003.0
KAKINADA,ANDHRA PRADESH,533003.0
KAKINADA,ANDHRA PRADESH,533003.0
KAKINADA,ANDHRA PRADESH,533003.0
KAKINADA,ANDHRA PRADESH,533003.0
KAKINADA,ANDHRA PRADESH,533003.0
HALDIA,WEST BENGAL,721635.0
HYDERABAD,TELANGANA,500056.0
NEW DELHI,DELHI,110016.0
Tivim,GOA,403502.0
CHENNAI,TAMIL NADU,600024.0
HYDERABAD,TELANGANA,500053.0
Agra,UTTAR PRADESH,282001.0
MANDVI KACHCHH DISTRICT,Gujarat,370465.0
SAMBALPUR,ODISHA,768004.0
KANNIYAKUMARI,TAMIL NADU,629701.0
"Chinchwad ,Pune",MAHARASHTRA,411019.0
HYDERABAD,TELANGANA,500094.0
CHENNAI,TAMIL NADU,600091.0
Hyderabad,TELANGANA,500008.0
BENGALURU,KARNATAKA,560036.0
PURNIA,BIHAR,854301.0
kolkata,WEST BENGAL,700059.0
PUDUCHERRY,PUDUCHERRY,605008.0
SHILLONG,MEGHALAYA,793022.0
PUNE,MAHARASHTRA,411057.0
TADEPALLIGUDEM,ANDHRA PRADESH,534101.0
Ghaziabad,UTTAR PRADESH,201001.0
HYDERABAD,TELANGANA,500090.0
BENGALURU,KARNATAKA,560036.0
GWALIOR,MADHYA PRADESH,474001.0
AKOLA,MAHARASHTRA,444101.0
JORHAT,ASSAM,785001.0
CHENNAI,TAMIL NADU,600100.0
RAMANAGARA,KARNATAKA,562159.0
Vijayapur,KARNATAKA,586109.0
RAMANAGARA,KARNATAKA,562159.0
BOKARO STEEL CITY,JHARKHAND,827001.0
BENGALURU,KARNATAKA,560008.0
LUCKNOW,UTTAR PRADESH,226002.0
MUMBAI,MAHARASHTRA,400101.0
KHAMMAM,TELANGANA,507003.0
CHENNAI,TAMIL NADU,600041.0
NEW DELHI,DELHI,110084.0
AURANGABAD,MAHARASHTRA,431002.0
Pune,MAHARASHTRA,411014.0
GADARWARA,MADHYA PRADESH,487551.0
HYDERABAD,TELANGANA,500050.0
PUDUCHERRY,PUDUCHERRY,605001.0
SHIRDI,MAHARASHTRA,423109.0
VELLORE,TAMIL NADU,632004.0
VELLORE,TAMIL NADU,632004.0
RANCHI,JHARKHAND,834002.0
noida,UTTAR PRADESH,201301.0
Mangaluru,KARNATAKA,575007.0
SINGRAULI,MADHYA PRADESH,486889.0
NEW DELHI,DELHI,110063.0
BENGALURU,KARNATAKA,560077.0
MUMBAI,MAHARASHTRA,400097.0
THRIPPUNITHURA,KERALA,682301.0
NEW DELHI,DELHI,110017.0
GHAZIABAD,UTTAR PRADESH,201014.0
KENDUJHAR,ODISHA,758001.0
MUMBAI,MAHARASHTRA,400066.0
THANE,MAHARASHTRA,401107.0
THANE,MAHARASHTRA,401107.0
KALYAN,MAHARASHTRA,421201.0
CHENNAI,TAMIL NADU,600015.0
CHENNAI,TAMIL NADU,600115.0
GURUGRAM,HARYANA,122022.0
LUDHIANA,PUNJAB,141012.0
Nerul,GOA,403114.0
IMPHAL,MANIPUR,795004.0
PALASBARI,ASSAM,781120.0
HYDERABAD,TELANGANA,500090.0
PUNE,MAHARASHTRA,411057.0
PUNE,MAHARASHTRA,411057.0
Chikkaballapur,KARNATAKA,562101.0
Andul near maya stores,WEST BENGAL,711302.0
BENGALURU,KARNATAKA,560078.0
MUMBAI,MAHARASHTRA,400067.0
Mumbai,MAHARASHTRA,400078.0
HYDERABAD,TELANGANA,500067.0
HYDERABAD,TELANGANA,500067.0
HYDERABAD,TELANGANA,500075.0
BENGALURU,KARNATAKA,560011.0
BENGALURU,KARNATAKA,560035.0
SURAT,Gujarat,395007.0
Mumbai,MAHARASHTRA,400078.0
CHITTOOR,ANDHRA PRADESH,517001.0
KADUR,KARNATAKA,577548.0
SURATGARH,RAJASTHAN,335804.0
MIRA ROAD,MAHARASHTRA,401107.0
MUMBAI,MAHARASHTRA,400095.0
MUMBAI,MAHARASHTRA,400095.0
DINANAGAR,PUNJAB,143531.0
KOLKATA,WEST BENGAL,700028.0
SECUNDERABAD,TELANGANA,500011.0
KALYAN,MAHARASHTRA,421004.0
ARAKANDANALLUR,TAMIL NADU,605752.0
BHOPAL,MADHYA PRADESH,462038.0
GURGAON,HARYANA,122001.0
HYDERABAD,TELANGANA,500036.0
Bhatgaon,CHHATTISGARH,497235.0
BHANJANAGAR,ODISHA,761126.0
VISAKHAPATNAM,ANDHRA PRADESH,530016.0
GHAZIABAD,UTTAR PRADESH,201012.0
VISAKHAPATNAM,ANDHRA PRADESH,531173.0
VISAKHAPATNAM,ANDHRA PRADESH,531173.0
MADHURAWADA,ANDHRA PRADESH,530048.0
ALMORA,UTTARAKHAND,263601.0
PRODDATUR,ANDHRA PRADESH,516360.0
SHRIGONDA,MAHARASHTRA,413701.0
WARANGAL,TELANGANA,506330.0
CHENNAI,TAMIL NADU,600089.0
FAIZABAD,UTTAR PRADESH,224001.0
BHIWADI,RAJASTHAN,301019.0
NOIDA,UTTAR PRADESH,201301.0
WARANGAL,TELANGANA,506001.0
BANGALORE,KARNATAKA,560078.0
NEW DELHI,DELHI,110085.0
SAMBALPUR,ODISHA,768004.0
ALLAHABAD,UTTAR PRADESH,211002.0
WARANGAL,TELANGANA,506009.0
Vadodara,Gujarat,390011.0
NEW DELHI,DELHI,110030.0
NASHIK,MAHARASHTRA,422101.0
Malda,WEST BENGAL,732103.0
KALYAN,MAHARASHTRA,421301.0
VISAKHAPATNAM,ANDHRA PRADESH,530047.0
VISAKHAPATNAM,ANDHRA PRADESH,530047.0
KOLLAM,KERALA,690521.0
BENGALURU,KARNATAKA,560021.0
MUMBAI,MAHARASHTRA,400042.0
ALLAHABAD,UTTAR PRADESH,211002.0
SURAT,Gujarat,395007.0
GUNTUR,ANDHRA PRADESH,522614.0
AHMEDABAD,Gujarat,380058.0
MANGALURU,KARNATAKA,575002.0
BENGALURU,KARNATAKA,560043.0
BENGALURU,KARNATAKA,560043.0
PATNA,BIHAR,800026.0
Pune,MAHARASHTRA,411033.0
MUMBAI,MAHARASHTRA,400042.0
ROORKEE,UTTARAKHAND,247667.0
MANGALURU,KARNATAKA,575006.0
NAGPUR,MAHARASHTRA,440006.0
NOIDA,UTTAR PRADESH,201301.0
JAIPUR,RAJASTHAN,303905.0
Golabandha,ODISHA,761002.0
ROHTAK,HARYANA,124001.0
VISAKHAPATNAM,ANDHRA PRADESH,530016.0
CHENNAI,TAMIL NADU,600089.0
BHATPARA,WEST BENGAL,743127.0
Palampur,HIMACHAL PRADESH,176092.0
PUNE,MAHARASHTRA,411001.0
KANPUR,UTTAR PRADESH,208017.0
MUMBAI,MAHARASHTRA,400074.0
CHENNAI,TAMIL NADU,600128.0
NASHIK,MAHARASHTRA,422101.0
NEW DELHI,DELHI,110058.0
MUMBAI,MAHARASHTRA,400042.0
GREATER NOIDA,UTTAR PRADESH,201308.0
NEW DELHI,DELHI,110075.0
PICHHORE SHIVPURI DISTRICT,MADHYA PRADESH,473995.0
LUCKNOW,UTTAR PRADESH,226025.0
SIKANDARABAD INDUSTRIAL AREA,UTTAR PRADESH,203205.0
MUMBAI,MAHARASHTRA,400098.0
THIRUVANANTHAPURAM,KERALA,695005.0
MAVELIKKARA,KERALA,690107.0
KOLKATA,WEST BENGAL,700022.0
HYDERABAD,TELANGANA,500032.0
THANE,MAHARASHTRA,400615.0
BILASPUR,CHHATTISGARH,495001.0
MYSURU,KARNATAKA,570001.0
QADIAN,PUNJAB,143516.0
BHUBANESWAR,ODISHA,751021.0
KALABURGI,KARNATAKA,585101.0
NAGPUR,MAHARASHTRA,440003.0
Rangareddy,TELANGANA,509327.0
HYDERABAD,TELANGANA,500089.0
HYDERABAD,TELANGANA,500013.0
Ahmedabad,Gujarat,380054.0
CHENNAI,TAMIL NADU,600063.0
DHARMANAGAR,TRIPURA,799250.0
JAIPUR,RAJASTHAN,302012.0
Jhajjar,HARYANA,124103.0
HYDERABAD,TELANGANA,500005.0
BENGALURU,KARNATAKA,560105.0
JAMSHEDPUR,JHARKHAND,831005.0
VADODARA,Gujarat,390016.0
MEERUT,UTTAR PRADESH,250001.0
HYDERABAD,TELANGANA,500089.0
GHAZIABAD,UTTAR PRADESH,201012.0
GORAKHPUR,UTTAR PRADESH,273004.0
MUDBIDRI,KARNATAKA,574227.0
VASCO DA GAMA,GOA,403802.0
NADIAD,Gujarat,387001.0
Janipur,JAMMU & KASHMIR,180007.0
Nagpur,MAHARASHTRA,440015.0
GHAZIABAD,UTTAR PRADESH,201009.0
HYDERABAD,TELANGANA,500006.0
VISAKHAPATNAM,ANDHRA PRADESH,530027.0
VISAKHAPATNAM,ANDHRA PRADESH,530027.0
KANPURKanpur,UTTAR PRADESH,208013.0
HYDERABAD,TELANGANA,500098.0
BENGALURU,KARNATAKA,560064.0
Hamirpur,UTTAR PRADESH,210504.0
CHENNAI,TAMIL NADU,600086.0
AMRITSAR,PUNJAB,143001.0
NEW DELHI,DELHI,110039.0
COIMBATORE,TAMIL NADU,641037.0
PALI,RAJASTHAN,306401.0
BASSEIN,MAHARASHTRA,401201.0
BASSEIN,MAHARASHTRA,401201.0
THIRUVALLA,KERALA,689101.0
GORAKHPUR,UTTAR PRADESH,273004.0
IMPHAL,MANIPUR,795113.0
VELLORE,TAMIL NADU,632004.0
VELLORE,TAMIL NADU,632004.0
AMBASAMUDRAM,TAMIL NADU,627401.0
Pathanamthitta,KERALA,689698.0
Chennai,TAMIL NADU,600002.0
Chennai,TAMIL NADU,600002.0
NEW DELHI,DELHI,110092.0
Vizianagaram,ANDHRA PRADESH,535002.0
CHITTOOR district,ANDHRA PRADESH,517113.0
BENGALURU,KARNATAKA,560078.0
RAE BARELI,UTTAR PRADESH,229001.0
Benipur,BIHAR,847201.0
NEW DELHI,DELHI,110092.0
KHATIMA,UTTARAKHAND,262308.0
ERODE,TAMIL NADU,638005.0
BOKARO STEEL CITY,JHARKHAND,827012.0
JAIPUR,RAJASTHAN,303905.0
JAIPUR,RAJASTHAN,303905.0
GURUGRAM,HARYANA,122002.0
BENGALURU,KARNATAKA,560076.0
Ulhasnagar,MAHARASHTRA,421001.0
BENGALURU,KARNATAKA,560100.0
INDORE,MADHYA PRADESH,452010.0
HALWARA,PUNJAB,141106.0
THANE,MAHARASHTRA,401101.0
BENGALURU,KARNATAKA,560056.0
"Neelakudi, Thiruvarur",TAMIL NADU,610005.0
JAIPUR,RAJASTHAN,302021.0
CUTTACK,ODISHA,753009.0
KOLKATA,WEST BENGAL,700032.0
MUMBAI,MAHARASHTRA,400078.0
VIJAYAWADA,ANDHRA PRADESH,520015.0
VASAI VIRAR,MAHARASHTRA,401209.0
KOLKATA,WEST BENGAL,700089.0
SHIMLA,HIMACHAL PRADESH,171009.0
NEW DELHI,DELHI,110085.0
COIMBATORE,TAMIL NADU,641062.0
DARBHANGA,BIHAR,846003.0
BURDWAN,WEST BENGAL,713101.0
HYDERABAD,TELANGANA,500055.0
KOLKATA,WEST BENGAL,700017.0
Secunderabad,TELANGANA,500094.0
